sku;data_rodagem;intercepto_tscv;coef_log_preco_tscv;coef_quarta-feira_tscv;coef_terça-feira_tscv;coef_log_preco_sarimax;AIC_sarimax;BIC_sarimax;AIC_cruzado;BIC_cruzado
88371;29/09/2025 16:43;-2,09309451;0,701500826;0,10008284;0,266995682;-3,258689582;1678,117572;1701,726937;882,7920983;895,3678238
14826;29/09/2025 16:43;13,43253944;-3,031938915;0,248684879;0,059217456;4,45027445;3904,463615;3934,371913;2833,310989;2849,825963
42891;29/09/2025 16:43;15,52258245;-4,050864052;0,509503789;0,324022497;2,051196538;4003,142636;4033,050934;2414,458849;2430,973823
45512;29/09/2025 16:43;12,38659415;-2,685745;0,18234216;0,062158497;0,257050024;3418,726317;3448,634615;2204,431736;2220,94671
17315;29/09/2025 16:43;8,932943562;-2,17938765;0,172807494;0,278151445;-1,477490857;3374,722998;3404,631296;1877,175987;1893,690961
45513;29/09/2025 16:43;9,898383901;-2,189681;-0,284950264;0,208320582;0,903502137;3804,000995;3833,909293;2251,08981;2267,604784
48647;29/09/2025 16:43;23,15585599;-4,725809844;0,269556793;0,249279249;-2,914072808;3167,438871;3197,347169;1800,534544;1817,049518
64215;29/09/2025 16:43;32,60699645;-5,997478011;0,155499652;0,29640707;-4,411331501;3356,70907;3386,617368;1917,615834;1934,130808
48639;29/09/2025 16:43;23,27496738;-4,260565478;0,060810127;0,088954509;-1,270728137;3484,424794;3514,333092;1961,791877;1978,306851
54969;29/09/2025 16:43;23,22561333;-4,376337818;0,33944889;0,193587315;-0,874010358;3808,612347;3838,520644;2108,549181;2125,064155
110006;29/09/2025 16:43;27,57517331;-5,964406757;-0,132440797;-0,110100608;-8,442620701;973,7411025;993,8806201;613,5959783;624,0963566
94591;29/09/2025 16:44;14,13183508;-3,160807396;-0,342354624;0,25496013;0,873181554;1247,396663;1270,281446;808,7451537;820,6498623
68018;29/09/2025 16:44;20,66194061;-4,198187811;0,082459618;-0,095850321;0,84379099;4910,734986;4940,643284;2604,619737;2621,134712
86437;29/09/2025 16:44;26,36768309;-5,268762956;-0,208992664;0,190456368;-9,11810211;2085,54444;2110,226533;1115,343688;1128,523452
39890;29/09/2025 16:44;28,55965874;-6,190088223;0,325903976;0,19668832;-0,455372452;4130,40738;4160,315678;2481,097737;2497,612711
40142;29/09/2025 16:44;32,08820137;-6,77762585;0,157559873;0,339363937;-0,399594333;4712,145411;4742,053709;2627,462064;2643,977038
40228;29/09/2025 16:44;50,13347402;-9,311254453;0,149610537;-0,29049778;-4,194428011;4713,151497;4743,059795;2509,874667;2526,389642
82773;29/09/2025 16:44;-6,435269094;1,090748002;-0,222996663;-0,498213592;1,091908557;2638,602201;2664,872758;1425,476219;1439,568516
82768;29/09/2025 16:44;1,255564086;-0,168718292;-0,367403875;0,190939118;-1,531513544;2127,213593;2153,191919;1335,13729;1349,115315
83906;29/09/2025 16:44;9,543843923;-1,657697047;-0,02091037;0,424210105;-5,814610397;2182,142279;2207,745483;1193,926557;1207,652084
